id,name,Capacity,Access,Bicycle_parking,Covered,nodeId,latitude,longitude,iconUrl
cycleparking-n1447395287,Un-named bicycle_parking,,,stands,no,1447395287,53.86772,-1.90024,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1655190296,Un-named bicycle_parking,,,,,1655190296,53.87476,-1.90601,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w178155161,Un-named place of interest,,,,,0,53.79525,-1.54677,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w414019050,Un-named place of interest,4,,stands,,0,53.78887,-1.32556,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1877261072,Un-named bicycle_parking,4,,stands,no,1877261072,53.90602,-1.69469,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n983323537,Un-named bicycle_parking,10,,stands,yes,983323537,53.80446,-1.68071,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1132773212,Un-named bicycle_parking,6,,,,1132773212,53.79338,-1.75174,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1132773222,Un-named bicycle_parking,4,,,,1132773222,53.79485,-1.75173,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1132773223,Un-named bicycle_parking,,,,,1132773223,53.79488,-1.75327,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w675029221,Un-named place of interest,,private,stands,yes,0,53.79558,-1.46197,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n2030443383,Un-named bicycle_parking,2,,stands,no,2030443383,53.83337,-1.64771,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n2030443415,Un-named bicycle_parking,4,,stands,no,2030443415,53.83203,-1.64119,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1721056486,Un-named bicycle_parking,2,,stands,no,1721056486,53.80867,-1.65637,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w436618862,Un-named place of interest,,private,stands,yes,0,53.77726,-1.49828,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w451262747,Un-named place of interest,,private,stands,yes,0,53.79716,-1.48532,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1326200788,Un-named bicycle_parking,4,,,,1326200788,53.79024,-1.55306,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w283510078,Un-named place of interest,6,yes,rack,no,0,53.79297,-1.54565,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n738151940,Un-named bicycle_parking,,private,,,738151940,53.79244,-1.54963,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1867219412,Un-named bicycle_parking,20,,stands,no,1867219412,53.80958,-1.55452,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1867219416,Un-named bicycle_parking,8,,stands,no,1867219416,53.81035,-1.55692,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1867219419,Un-named bicycle_parking,8,,stands,no,1867219419,53.8104,-1.55681,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1868792367,Un-named bicycle_parking,8,,stands,no,1868792367,53.80978,-1.55513,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1740394885,Un-named bicycle_parking,4,yes,stands,no,1740394885,53.81942,-1.58194,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n766880797,Un-named bicycle_parking,4,,stands,no,766880797,53.79794,-1.54227,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1563017308,Un-named bicycle_parking,,,,,1563017308,53.80335,-1.54759,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n766880798,Un-named bicycle_parking,4,,stands,no,766880798,53.79863,-1.54197,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n766880799,Un-named bicycle_parking,4,,stands,no,766880799,53.798,-1.54226,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n766880802,Un-named bicycle_parking,4,,stands,no,766880802,53.79895,-1.54196,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n766880805,Un-named bicycle_parking,4,,stands,no,766880805,53.79896,-1.54212,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1917568197,Un-named bicycle_parking,2,,stands,no,1917568197,53.82001,-1.57639,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1917568198,Un-named bicycle_parking,4,,stands,no,1917568198,53.82137,-1.578,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1917568199,Un-named bicycle_parking,6,,stands,no,1917568199,53.82106,-1.57828,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n2324935731,Un-named bicycle_parking,4,,stands,no,2324935731,53.8199,-1.58118,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1161161976,Un-named bicycle_parking,,,,,1161161976,53.80549,-1.55386,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1867219406,Un-named bicycle_parking,14,,stands,no,1867219406,53.80847,-1.55261,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w378922171,Un-named place of interest,,private,rack,no,0,53.8481,-1.64863,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1938631970,Un-named bicycle_parking,4,,stands,no,1938631970,53.8467,-1.63269,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1938631979,Un-named bicycle_parking,3,,stands,no,1938631979,53.84638,-1.63369,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1938632023,Un-named bicycle_parking,4,,stands,no,1938632023,53.84578,-1.63379,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1038799941,Un-named bicycle_parking,,,,,1038799941,53.83306,-1.77744,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w307446415,Un-named place of interest,5,customers,stands,yes,0,53.92342,-1.58224,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w544992078,Un-named place of interest,,,,,0,53.8269,-1.59468,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1646443156,Un-named bicycle_parking,4,yes,stands,no,1646443156,53.81778,-1.59466,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1649012680,Un-named bicycle_parking,16,,stands,,1649012680,53.81316,-1.6031,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n2042052522,Un-named bicycle_parking,6,,stands,no,2042052522,53.83269,-1.53806,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w23398225,Un-named place of interest,,,,,0,53.66297,-1.48143,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w947513282,Un-named place of interest,32,customers,shed,yes,0,53.80332,-1.53621,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w947513283,Un-named place of interest,95,private,two-tier,yes,0,53.80166,-1.54078,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w947513284,Un-named place of interest,36,,two-tier,yes,0,53.80124,-1.5421,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1090341006,Un-named place of interest,36,private,two-tier,yes,0,53.80268,-1.54684,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n327407339,Un-named bicycle_parking,13,,stands,no,327407339,53.80298,-1.67167,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1010818871,Trinity Bike Park,24,yes,stands,yes,0,53.79718,-1.54533,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1172123930,Un-named place of interest,,private,building,yes,0,53.807,-1.79573,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n308489231,Un-named bicycle_parking,8,,stands,no,308489231,53.81319,-1.77091,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n314659362,Un-named bicycle_parking,,private,,,314659362,53.79083,-1.76471,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w909350067,Un-named place of interest,8,,stands,yes,0,53.90007,-1.94457,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w949220010,The Commute,5,yes,stands,yes,0,53.92497,-1.82501,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n322683453,Un-named bicycle_parking,12,,stands,no,322683453,53.84987,-1.8394,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n322683455,Bingley Market Square Cycle Parking,8,,stands,no,322683455,53.84826,-1.83855,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w996653120,Un-named place of interest,,private,shed,yes,0,53.82295,-1.57464,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w974140023,Un-named place of interest (Lies within a private area.),20,,stands,yes,0,53.82721,-1.59131,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w974140024,Un-named place of interest (Lies within a private area.),20,,stands,yes,0,53.82721,-1.59127,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w974140025,Un-named place of interest (Lies within a private area.),20,,stands,no,0,53.82722,-1.59125,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w974140026,Un-named place of interest (Lies within a private area.),20,,stands,no,0,53.82722,-1.59122,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w974140027,Un-named place of interest (Lies within a private area.),20,,stands,yes,0,53.82722,-1.5912,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w996653121,Un-named place of interest,,private,shed,yes,0,53.82255,-1.57664,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w996653122,Un-named place of interest,,private,shed,yes,0,53.82213,-1.57665,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w996653123,Un-named place of interest,,private,shed,yes,0,53.82173,-1.57564,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w996653127,Un-named place of interest,,private,shed,yes,0,53.82228,-1.57648,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1096841534,Un-named place of interest,,permissive,shed,yes,0,53.82583,-1.59517,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n389520733,Un-named bicycle_parking,,,,,389520733,53.78441,-1.54996,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w930413750,Un-named place of interest,8,private,shed,yes,0,53.87579,-1.71141,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w902767527,Un-named place of interest,,private,shed,yes,0,53.82881,-1.64857,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n352872464,Un-named bicycle_parking,4,,stands,no,352872464,53.82905,-1.56724,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w706132466,Un-named place of interest,,private,shed,yes,0,53.8497,-1.55275,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w946628169,Un-named place of interest,40,permissive,shed,yes,0,53.79,-1.53726,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w946628170,Un-named place of interest,18,,shed,,0,53.79025,-1.53561,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1180534827,Un-named place of interest,,,shed,,0,53.78948,-1.53271,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w878356612,Un-named place of interest,24,,,no,0,53.79532,-1.5485,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
